COUNTRY,ELEVATION_METRE,ELEVATION_FEET
 Afghanistan,1884,6181
 Albania,708,2323
 Algeria,800,2625
 Andorra,1996,6549
 Angola,1112,3648
 Antarctica,2300,7546
 Argentina,595,1952
 Armenia,1792,5879
 Australia,330,1083
 Austria,910,2986
 Azerbaijan,384,1260
 Bangladesh,85,279
 Belarus,160,525
 Belgium,181,594
 Belize,173,568
 Benin,273,896
 Bhutan,3280,10761
 Bolivia,1192,3911
 Bosnia and Herzegovina,500,1640
 Botswana,1013,3323
 Brazil,320,1050
 Brunei,478,1568
 Bulgaria,472,1549
 Burkina Faso,297,974
 Burundi,1504,4934
 Cambodia,126,413
 Cameroon,667,2188
 Canada,487,1598
 Central African Republic,635,2083
 Chad,543,1781
 Chile,1871,6138
 China,1840,6037
 Colombia,593,1946
 Costa Rica,746,2448
 Croatia,331,1086
 Cuba,108,354
 Cyprus,91,299
 Czech Republic,430,1411
 Democratic Republic of the Congo,726,2382
 Denmark,34,112
 Djibouti,430,1411
 Dominican Republic,424,1391
 Ecuador,1117,3665
 Egypt,321,1053
 El Salvador,442,1450
 Equatorial Guinea,577,1893
 Eritrea,853,2799
 Estonia,61,200
 Eswatini,305,1001
 Ethiopia,1330,4364
 Finland,164,538
 France,375,1230
 French Guiana,168,551
 Gabon,377,1237
 Gambia,34,112
 Georgia,1432,4698
 Germany,263,863
 Ghana,190,623
 Greece,498,1634
 Greenland,1792,5879
 Guatemala,759,2490
 Guinea,472,1549
 Guinea-Bissau,70,230
 Guyana,207,679
 Haiti,470,1542
 Honduras,684,2244
 Hungary,143,469
 Iceland,557,1827
 India,621,2037
 Indonesia,367,1204
 Iran,1305,4281
 Iraq,312,1024
 Ireland,118,387
 Israel,508,1667
 Italy,538,1765
 Ivory Coast,250,820
 Jamaica,340,1115
 Japan,438,1437
 Jordan,812,2664
 Kazakhstan,387,1270
 Kenya,762,2500
 Kiribati,2,7
 Kosovo,810,2657
 Kuwait,108,354
 Kyrgyzstan,2988,9803
 Laos,710,2329
 Latvia,87,285
 Lebanon,1250,4101
 Lesotho,2161,7090
 Liberia,243,797
 Libya,423,1388
 Lithuania,110,361
 Luxembourg,325,1066
 Madagascar,615,2018
 Malawi,779,2556
 Malaysia,419,1375
 Maldives,2,5
 Mali,343,1125
 Marshall Islands,2,7
 Mauritania,276,906
 Mexico,1111,3645
 Moldova,139,456
 Mongolia,1580,5184
 Montenegro,1086,3563
 Morocco,909,2982
 Mozambique,345,1132
 Myanmar,702,2303
 Namibia,1141,3743
   Nepal,3265,10712
 Netherlands,30,98
 New Zealand,388,1273
 Nicaragua,298,978
 Niger,474,1555
 Nigeria,380,1247
 North Korea,440,1444
 North Macedonia,741,2431
 Norway,460,1509
 Oman,310,1017
 Pakistan,900,2953
 Panama,360,1181
 Papua New Guinea,667,2188
 Paraguay,178,584
 Peru,1555,5102
 Philippines,442,1450
 Poland,173,568
 Portugal,372,1220
 Qatar,28,92
 Republic of the Congo,430,1411
 Romania,414,1358
 Russia,600,1969
 Rwanda,1598,5243
 Saudi Arabia,665,2182
 Senegal,69,226
 Serbia,442,1450
 Sierra Leone,279,915
 Singapore,15,49
 Slovakia,458,1503
 Slovenia,492,1614
 Somalia,410,1345
 South Africa,1034,3392
 South Korea,282,925
 Spain,660,2165
 Sri Lanka,228,748
 Sudan,568,1864
 Suriname,246,807
 Sweden,320,1050
  Switzerland,1350,4429
 Syria,514,1686
 Taiwan,1150,3773
 Tajikistan,3186,10453
 Tanzania,1018,3340
 Thailand,287,942
 Togo,236,774
 Trinidad and Tobago,83,272
 Tunisia,246,807
 Turkey,1141,3743
 Turkmenistan,230,755
 Tuvalu,2,6
 Uganda,1100,3609
 Ukraine,175,574
 United Arab Emirates,149,489
 United Kingdom,162,531
 United States,760,2493
 Uruguay,109,358
 Uzbekistan,450,1476
 Venezuela,450,1476
 Vietnam,398,1306
 Western Sahara,256,840
 Yemen,999,3278
 Zambia,1138,3734
 Zimbabwe,961,3153
